Console,Produttore,Anno
Magnavox Odyssey,Magnavox,1972
Atari 2600,Atari,1977
Nintendo Entertainment System,Nintendo,1983
Sega Master System,Sega,1985
Sega Genesis,Sega,1988
GameBoy,Nintendo,1989
Super Nintendo Entertainment System,Nintendo,1990
Playstation 1,Sony,1994
Nintendo 64,Nintendo,1996
Sega Dreamcast,Sega,1998
Playstation 2,Sony,2000
Xbox,Microsoft,2001
Nintendo GameCube,Nintendo,2001
Nintendo DS,Nintendo,2004
Playstation Portable (PSP),Sony,2004
Xbox 360,Microsoft,2005
Playstation 3,Sony,2006
Wii,Nintendo,2006
Nintendo Wii U,Nintendo,2012
Playstation 4,Sony,2013
Xbox One,Microsoft,2013
Nintendo Switch,Nintendo,2017
Playstation 5,Sony,2020
Xbox Series X/S,Microsoft,2020